file;species;betaml_coalp;betaml_growth;betaml_misid;betaml_logML;betaml_cohenw;betaml_cramerv;betaml_relcramd;psiml_coalp;psiml_growth;psiml_misid;psiml_logML;psiml_cohenw;psiml_cramerv;psiml_relcramd;kmml_coalp;kmml_growth;kmml_misid;kmml_logML;kmml_cohenw;kmml_cramerv;kmml_relcramd;logBF_mmcvskm;logBF_bvspsi;selected_model
ACBA_SFS.txt;Acinetobacter baumannii;1.8;0;0.1;-12390.6528740506;0.518044437992938;0.0590366427853844;0.000906528533447037;0.02;0;0.1;-13167.4603386045;0.539155533562097;0.0614424754061403;0.00108253565711041;0;0;0.1;-14233.0949603461;0.565853443871145;0.0644849846552271;0.00131811353626257;1842.44208629552;776.807464553916;BETA
Aptenodytes_SFS.txt;Aptenodytes patagonicus;1.25;1.5;0;-71.4761136786574;0.198200348424706;0.046716270134882;0.00026938254180684;0.04;15.5;0.01;-94.3760484481986;0.266525679569764;0.0628207051280444;0.000252239330887575;0;24;0.01;-99.2591644627296;0.30161200317938;0.0710906309117994;0.000258142363460623;27.7830507840722;22.8999347695412;BETA
Arabidopsis_SFS.txt;Arabidopsis thaliana;1.6;0;0.07;-200311.611961365;0.176229132971186;0.00951547876747532;1.05093012389629e-05;0.01;1;0.08;-572074.547739275;0.318075170413363;0.0171744448803724;2.8373636850996e-05;2;3.5;0.08;-711389.765949905;0.358161393280737;0.0193388974662292;2.09794309659353e-05;511078.15398854;371762.93577791;BETA
Armadillidium_SFS.txt;Armadillidium vulgare;1.7;0;0.03;-1104.36258715375;0.293017085930788;0.069064789488394;0.0015233938746999;0.06;0;0.02;-1309.19061837816;0.353066529905499;0.0832185791687271;0.00221683579242014;0;0;0.03;-1710.89365783194;0.379522196141671;0.0894542395008622;0.00277501981812125;606.531070678189;204.82803122441;BETA
Artemia_SFS.txt;Artemia franciscana;1.65;0;0.03;-238.428897179587;0.232318600724532;0.0547580193226954;0.000932000143575519;0.02;0.5;0.03;-279.94661794796;0.277409189294751;0.0653859729712604;0.00103323340064809;2;0.5;0.03;-280.710117101242;0.284904763258934;0.0671526966975801;0.00104070292817424;42.2812199216551;41.5177207683737;BETA
BASU_SFS.txt;Bacillus subtilis;1.25;0;0.15;-10356.1804613418;0.476057414321785;0.0793429023869641;0.00114556741998581;0.14;0;0.2;-8255.31190424802;0.371673953597224;0.0619456589328706;0.00103646560085761;0;5.5;0.2;-14511.2095078022;0.512082431260079;0.0853470718766799;0.000872608112539413;6255.89760355419;-2100.86855709378;PSI
BurrowingOwl_SFS.txt;Athene cunicularia;1.8;1;0.03;-333217.611363761;0.225544853904437;0.036588206729108;0.000189388798608707;0;2.5;0.03;-360491.21352005;0.247951990498733;0.0402231242709058;0.000172668905911709;0;2.5;0.03;-360491.21352005;0.247951990498733;0.0402231242709058;0.000172668905911709;27273.6021562889;27273.6021562889;BETA
C_elegans_SFS.txt;Caenorhabditis elegans;2;0;0.06;-415.49818488585;3.40064843111802;0.14218825396828;0.00429030787999801;0;0;0.06;-415.498184885851;3.40064843111802;0.14218825396828;0.00429030787999801;2;0;0.06;-415.49818488585;3.40064843111802;0.14218825396828;0.00429030787999801;0;2.27373675443232e-13;KM
Caenorhabditis_SFS.txt;Caenorhabditis brenneri;1.5;0;0.06;-139.168918765414;0.363026688965432;0.0855662111730523;0.00214135424743934;0.09;0;0.06;-180.477192248105;0.447425925838874;0.105459302079779;0.00377198569831578;2;1.5;0.09;-182.884681781401;0.399599325212751;0.0941864642051682;0.00186895757489782;43.7157630159863;41.3082734826903;BETA
CHTR_SFS.txt;Chlamydia trachomatis;2;0;0.11;-2642.06453170958;0.792007886085892;0.104904007217145;0.00374307549337249;0;0;0.11;-2642.06453170958;0.792007886085892;0.104904007217145;0.00374307549337249;2;0;0.11;-2642.06453170958;0.792007886085892;0.104904007217145;0.00374307549337249;0;0;KM
Ciona_A_SFS.txt;Ciona intestinalis A;1.9;0;0.04;-110.461029802147;0.272792467364728;0.0642978011767363;0.00145940706555322;0.01;0;0.04;-113.200925232571;0.280738898018485;0.0661707928439031;0.00156916701517142;0;0;0.04;-114.224856936335;0.284369835131605;0.0670266129288195;0.00162302541800695;3.76382713418798;2.73989543042353;BETA
Ciona_B_SFS.txt;Ciona intestinalis B;1.6;0;0.02;-116.947456630101;0.229088904090206;0.053996772525593;0.000866358244725614;0.07;0;0.02;-139.155479950668;0.268547280651227;0.0632972010725631;0.00127303101290783;2;0.5;0.03;-184.461850580497;0.341114066271147;0.0804013564728151;0.00149185499625651;67.5143939503969;22.208023320567;BETA
CLDI_SFS.txt;Clostridium difficile;1;0;0.15;-59.0829136294257;0.661622796778327;0.220540932259442;0.0126987645014941;0;17.5;0.2;-60.2708719823208;0.643095854235646;0.214365284745215;0.00710883931455108;0;17.5;0.2;-60.2708719823208;0.643095854235646;0.214365284745215;0.00710883931455108;1.18795835289518;1.18795835289518;KM
